region_name,n_voxels_region,n_voxels_overlap,fraction_covered,mean_overlap,weighted_mean_overlap,sum_overlap,p90_overlap,p95_overlap
7Networks_RH_SalVentAttn_Med_5,3373,3363,0.9970352801660243,0.4811307243855652,0.4811307243855652,1622.8539333525114,0.7921348214149475,0.8595505356788635
7Networks_RH_SalVentAttn_FrOper_6,3261,3261,1.0,0.4319520097594892,0.4319520097594892,1408.5955038256943,0.5561797618865967,0.6067415475845337
7Networks_RH_SalVentAttn_FrOper_5,2546,2542,0.9984289080911233,0.42468247029459205,0.42468247029459205,1081.2415693700314,0.7078651785850525,0.7696629166603088
7Networks_RH_Cont_PFCmp_2,2671,2637,0.987270685136653,0.40769563874652387,0.40769563874652387,1088.9550510919653,0.7977527976036072,0.8314606547355652
7Networks_LH_SomMot_18,1662,1631,0.9813477737665464,0.40639408206243277,0.40639408206243277,675.4269643877633,0.6292135119438171,0.7106741666793823
7Networks_RH_SomMot_8,2143,2125,0.9916005599626692,0.4011492856477904,0.4011492856477904,859.6629191432148,0.6629213690757751,0.6966292262077332
7Networks_RH_SomMot_12,2438,2389,0.9799015586546349,0.39921744415457067,0.39921744415457067,973.2921288488433,0.5741572856903091,0.6067415475845337
7Networks_RH_SomMot_25,1060,1055,0.9952830188679245,0.3969949117699146,0.3969949117699146,420.8146064761095,0.5280898809432983,0.550561785697937
7Networks_RH_Cont_PFCl_9,3846,3846,1.0,0.3881648510777562,0.3881648510777562,1492.8820172450505,0.5730336904525757,0.6235954761505127
7Networks_RH_DorsAttn_PrCv_1,3523,3509,0.9960261141072949,0.37444465924881815,0.37444465924881815,1319.1685345335864,0.533707857131958,0.59325840473175
7Networks_RH_DorsAttn_FEF_1,4083,3941,0.9652216507469997,0.37293436348519465,0.37293436348519465,1522.6910061100498,0.567415714263916,0.6067415475845337
7Networks_LH_SomMot_20,2371,2291,0.9662589624630957,0.35461261649079895,0.35461261649079895,840.7865136996843,0.6123595237731934,0.6629213690757751
7Networks_RH_Default_PFCm_8,3570,3491,0.9778711484593837,0.34374940925361247,0.34374940925361247,1227.1853910353966,0.7808988690376282,0.8258426785469055
7Networks_RH_SomMot_23,1187,1125,0.9477674810446504,0.34217600700058665,0.34217600700058665,406.16292030969635,0.5056179761886597,0.5224719047546387
