region_name,n_voxels_region,n_voxels_overlap,fraction_covered,mean_overlap,weighted_mean_overlap,sum_overlap,sum_atlas_in_tract,pwll_normalised,max_atlas_prob_in_overlap,continuous_dice,p90_overlap,p95_overlap
Corticobulbar_Tract_R,35042,34896,0.9958335711431996,0.6912047442115338,0.7413031543027652,24221.196646660566,5254.993314363179,4.609177442806279,0.96299809217453,1.2065054758182503,1.0,1.0
Corticospinal_Tract_R,69268,68689,0.9916411618640643,0.6186854935111629,0.7586418765538753,42855.10676453123,15256.06613562617,2.80905355178393,0.9840375781059265,1.0210274108377546,1.0,1.0
Frontal_Aslant_Tract_R,77604,77210,0.9949229421163858,0.5178484658916571,0.5653115476137547,40187.11234705616,14691.569407201489,2.7353859368732456,0.9258216023445129,0.8745685760597481,1.0,1.0
Corticostriatal_Tract_Superior_R,208622,206153,0.9881651983012338,0.5109454722687262,0.6529433943105769,106594.46631564619,34701.90798220254,3.07171773869941,1.0,0.8851342678349968,1.0,1.0
Superior_Longitudinal_Fasciculus1_R,53257,52744,0.9903674634320371,0.49102159535723156,0.47676645214485786,26150.33710394008,9730.505426321004,2.6874592796797026,0.9849765300750732,0.8371522727708617,0.9943820238113403,1.0
Thalamic_Radiation_Superior_R,236782,232310,0.9811134292302625,0.4836131211481694,0.6942291609138691,114510.88205170585,35109.62067250005,3.2615243303211647,0.9943662285804749,0.8564134655769595,1.0,1.0
Arcuate_Fasciculus_R,116261,115628,0.9945553539019963,0.4760573096766449,0.5431305239387348,55346.89888031641,14646.617476134794,3.7788178035303153,0.8986615538597107,0.8496958187646261,1.0,1.0
Thalamic_Radiation_Anterior_R,105201,104059,0.9891445898803243,0.44165865925925596,0.6150302459216576,46462.932612732984,21447.545172423997,2.1663520108805883,1.0,0.7404065269887089,0.9887640476226807,1.0
Superior_Longitudinal_Fasciculus2_R,179004,177477,0.9914694643695113,0.43717157526991146,0.4913032664571218,78255.46065961523,29050.4280155116,2.6937799545614403,0.9774647951126099,0.7578214807743379,0.9887640476226807,1.0
Corticopontine_Tract_Frontal_R,190168,173861,0.914249505700223,0.43190491792686797,0.6409746472611939,82134.49443231663,20028.18458484544,4.100945549226895,0.9981220960617065,0.847231315229703,1.0,1.0
Superior_Longitudinal_Fasciculus3_R,93691,92652,0.9889103542496077,0.42897702569537294,0.48631869795592886,40191.286514425185,20146.142322654603,1.9949867260308964,0.9990610480308533,0.7126231990498497,0.9887640476226807,1.0
Reticulospinal_Tract_R,183138,171943,0.9388712337144667,0.40441250748326585,0.5429119937504256,74063.29779547034,23555.35839100537,3.1442229222779075,1.0,0.7576871581431949,0.9943820238113403,1.0
Corticostriatal_Tract_Anterior_R,129310,125086,0.9673343128915011,0.38733989151592113,0.45586310246479333,50086.92137192376,27684.15004533209,1.8092273481363055,1.0,0.6557160722439727,0.9775280952453613,1.0
Cingulum_Frontal_Parahippocampal_R,39318,36948,0.9397222646116282,0.3674958609076529,0.46783399901077777,14449.202259167098,5933.081850229413,2.435362030039817,0.9849765300750732,0.6739196697337894,0.9775280952453613,1.0
Cingulum_Frontal_Parietal_R,59306,57391,0.967709843860655,0.343917492265279,0.3326159335856766,20396.37079628464,14547.755314364797,1.4020287223379941,1.0,0.5670481983502396,0.9438202381134033,0.9943820238113403
Superior_Longitudinal_Fasciculus1_L,57649,52175,0.9050460545716318,0.33421835518374743,0.3433080488361531,19267.353957987856,11466.030356400646,1.680385744594885,0.9943662285804749,0.6055010061932493,0.9101123809814453,0.9606741666793823
Corticopontine_Tract_Parietal_R,102022,91453,0.8964046970261316,0.30944702644471467,0.5803170849057759,31570.40453194268,8612.581460086163,3.6656146218472854,0.9859155416488647,0.6309942753799993,0.9719101190567017,1.0
Cingulum_Frontal_Parahippocampal_L,52080,40348,0.774731182795699,0.2794320319254454,0.307768212198339,14552.820222677197,6921.295964203193,2.102614929045673,0.9830986261367798,0.615740933975322,0.8707864880561829,0.9606741666793823
Corpus_Callosum_Body,530090,437822,0.8259389914920108,0.2755944136704227,0.448461472212308,146089.84274255438,130768.44563659455,1.1171643283773365,1.0,0.51386668159361,0.9213483333587646,1.0
Cingulum_Frontal_Parietal_L,59842,51312,0.8574579726613415,0.2617521082545271,0.2309106531327992,15663.769662167411,11596.770264114079,1.3507010404990571,0.9962441325187683,0.49798365462892263,0.8314606547355652,0.932584285736084
Inferior_Fronto_Occipital_Fasciculus_R,169502,162631,0.9594636051492018,0.26104965262940644,0.370448121224715,44248.43821998965,38625.10432292492,1.1455875393902082,1.0,0.4397226943138176,0.8202247023582458,0.966292142868042
Corticostriatal_Tract_Posterior_R,119578,117147,0.9796701734432756,0.2569103032679694,0.32319901450914373,30720.820244177245,19163.4145988588,1.6030974065554424,1.0,0.450747953992863,0.8539325594902039,0.9943820238113403
Middle_Longitudinal_Fasciculus_R,52871,50350,0.9523179058463052,0.2543890483415047,0.2862811036752308,13449.803374863695,8032.428772137035,1.6744379261125228,0.9755639433860779,0.4607483332821742,0.7808988690376282,0.9775280952453613
Thalamic_Radiation_Posterior_R,82498,81203,0.9843026497612063,0.25335588676446824,0.32159454588803216,20901.3539462951,14052.470799213334,1.4873792833261161,1.0,0.43884836788750015,0.7752808928489685,0.932584285736084
Corticospinal_Tract_L,73146,68623,0.9381647663576955,0.25104639130580125,0.23523212759228398,18363.03933845414,17962.16198263975,1.0223178788946359,0.9943662285804749,0.42416134399877686,0.6853932738304138,0.8707864880561829
Parietal_Aslant_Tract_R,80870,80286,0.9927785334487449,0.23362887863401327,0.2314924785091323,18893.567415132653,21561.813714275777,0.8762513054559731,0.9859155416488647,0.3710156698726344,0.6685393452644348,0.8370786309242249
Frontal_Aslant_Tract_L,101071,95267,0.9425750215195259,0.2201726254760507,0.20764482064110498,22253.06742948992,23110.79405132815,0.9628863197026787,0.9868544936180115,0.3759669219691842,0.6292135119438171,0.8146067261695862
Cingulum_Rarolfactory_R,32552,30102,0.9247358073236668,0.21985635431243633,0.22595929844410914,7156.764045578428,5477.4048411345575,1.3065976047328314,0.9990610480308533,0.4022981316036096,0.7078651785850525,0.882022500038147
Optic_Radiation_R,46827,45605,0.9739039443056356,0.2162386868398047,0.23468917235033443,10125.808988647535,7849.896927424939,1.2899289101836884,0.9971831440925598,0.3788543078623918,0.7000000119209208,0.8314606547355652
Corticopontine_Tract_Occipital_R,126116,115280,0.9140791017793143,0.20275345784085919,0.3481551028838375,25570.455089057796,8395.315994702978,3.045800194440741,0.9821428656578064,0.4135094361133952,0.7865168452262878,0.9382022619247437
